feature,importance
rolling_mean_14,0.22411105
item_encoded,0.14488319
discount_avg_pct,0.109936595
rolling_mean_7,0.041724652
weekend_proximity,0.041108824
rolling_std_7,0.038489383
day_of_week,0.032717016
is_weekend_evening,0.03024349
lag_7,0.027694933
month_end_weekend,0.027455458
lag_14,0.026514793
cv_7day,0.023595987
month,0.02178511
demand_acceleration,0.021194983
is_weekend,0.019816719
is_medium_discount_day,0.016093306
days_to_month_end,0.015819171
is_month_end_week,0.015775733
weekend_payday_combo,0.014397928
demand_trend,0.014186204
discount_penetration,0.013984519
is_payday_week,0.013677277
temp_avg,0.01291616
days_since_holiday,0.010605961
lag_1,0.0092933895
days_since_major_festival,0.008633472
day_of_month,0.0070763645
is_friday,0.0064083096
salary_week_boost,0.0062770685
first_friday,0.0035829921
days_to_year_end,0.0
is_post_holiday_weekend,0.0
post_holiday_recovery_3d,0.0
is_year_end_week,0.0
post_holiday_recovery_7d,0.0
rain_delivery_boost,0.0
is_festival_season,0.0
late_dinner_pattern,0.0
family_weekend_boost,0.0
is_weekend_discount,0.0
is_first_week,0.0
extreme_temp_delivery,0.0
weekend_rain_combo,0.0
is_dinner_delivery_day,0.0
has_any_discount,0.0
is_high_discount_day,0.0
is_extreme_temp,0.0
is_heavy_rain,0.0
is_rainy,0.0
precipitation_mm,0.0
is_christmas_ny_transition,0.0
